;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
19416;KPRDCSA02;9001032321;07d2f4997789aed07af7eff540f15d89cee88f353f90061da5dc14c2c510bca2;joint gris D:15mm;GR15205;;unknown;NA;False
19417;KPRDCSA02;9001026028;e6a051d9869c5f95445accdae5b535a79e35eb526ccc2e540a4e31d55f6caf16;joint noir D:11mm;GR15206;;unknown;;False
19422;KPRDCSA02;9001042927;68f6ed5a0567da392552bde5e0c4fa6e89c642869ebaaabc7266476bb60c886e;écarteur Farabeuf L:120mm;GR16609;NA;geomed;NA;False
19424;KPRDCSA02;9001023409;1317e8a342d61a0e663c640de9befd8f8a24dd80eb7e96ad8b372d15155e4e93;fil de cerclage à oeillet D:0,8mm;GR14119;;unknown;;False
19425;KPRDCSA02;9001023407;e2847953eaa4b377fc14ba38a59866732aee78aa098a115ca3c81a12075847d8;fil de cerclage à oeillet D:1,0mm;GR14120;;unknown;;False
19426;KPRDCSA02;9001023408;5aa22a21c6cb4bbfac1b1510d79b10bfb856df825d98068667ec24cafdbd7b2c;fil de cerclage à oeillet D:1,25mm;GR14121;;unknown;;False
19427;KPRDCSA02;9001023410;db67445855d771053c6b3ac21ce6e4c05f2daaef95187a3fcee65d7b7c7f662d;fil de cerclage à oeillet D:1,5mm;GR14122;;unknown;;False
19431;KPRDCSA02;9001029266;c72f0ee2bd1ebe1c1dd5465227ae80afd2345d025706c47254965440637ee48a;serre clé L:45mm;GR14124;;unknown;NA;False
19441;KPRDCSA02;9001030347;9486ef443f8d8333fef71dd93ba9b2871e2f2947fb5382f9ead01078a4368154;lipomatic 3;GR14627;NA;euromi;NA;False
19442;KPRDCSA02;9001029477;4392e036dc87525d35f0b65f0a166f868e76e2f80c12edeb0638c89c0f37afe6;canule d'infiltration L:285mm (ArtNr:2,5);GR14246;;unknown;NA;False
19446;KPRDCSA02;9001029478;878d0bdcb80b3bf801a05f0ff4b45d242836abeeb7ae971185871d625dee678d;canule Toledo teflon L:180mm (ArtNr: 3);GR14247;;unknown;NA;False
19447;KPRDCSA02;9001029479;4aef4d9e445160f6fc123f8efda5678d91b67e48792e179f2844e8daab03adba;canule Rebello teflon L:280mm (ArtNr: 4) trou sur 55mm;GR14248;;unknown;NA;False
19448;KPRDCSA02;9001029482;7a2f4a36100eb3c37e89cb34d01689f1a83a90869df40531d007d7f7a432a2ca;canule Illouz teflon L:280mm (ArtNr: 4) trou sur 20mm;GR14250;;unknown;NA;False
19451;KPRDCSA02;9001041481;0ce7538195256b19e2a878f0bf1c9ebf3ca92d9a749b8d941da0a0054014ff32;clef en T;GR16422;;unknown;NA;False
19452;KPRDCSA02;9001029791;f612546bed8d7897e0e285660caa3788e64bdc8e5c7f572aaeb7afcc2ff4a500;crochet Gillis L:180mm (ArtNr: 2);GR14422;;unknown;NA;False
19464;KPRDCSA02;9001029911;880c987c60459a6da53942c2bdac588d9bfcd544c663d027d7f3a9f2c8706f82;alésoir à main D:6mm;GR14477;;unknown;NA;False
19471;KPRDCSA02;9001029480;dff24d9d62dcd8d26eabaa552522986fb44a3fac5b2c8f293b9d2bfaf3e9f189;canule 3G teflon L:280mm (ArtNr: 3);GR14249;;unknown;NA;False
19488;KPRDCSA02;9001023823;ca4c1ccafab74a027650a6d22debdb2bfde4ed6d1c4e26972fd721d8f1a4e386;alésoir à main D:7mm;GR14303;;unknown;;False
19489;KPRDCSA02;9001023825;291f9a3cf4f135c21e5d6f2b62a9f7d899aed3e408332ea87e6f23a2af388555;alésoir à main D:9mm;GR14305;;unknown;;False
19507;KPRDCSA02;9001023824;f5c8f65f4a3eac88a7acc9020b0ff2840884b2ed92cde804ab257f0ec4c02899;alésoir à main D:8mm;GR14304;;unknown;;False
19520;KPRDCSA02;9001030145;d0061d52d642e1d4ad74fcb0f025d65754e85b2c83234fe2ef8187bb8e5b2b64;vis pointu pour tréphine;GR14598;;unknown;NA;False
19521;KPRDCSA02;9001030146;58a131b7151a7261d54ab36145d76fd1eaac9c33a868f4a70d8e179751aff992;base tréphine enfant L:95mm;GR14599;;unknown;NA;False
19523;KPRDCSA02;9001030148;396eebbe1cd4b243f07ec4b7a62fe46c7b87e1b9844b816700af0fcf06967e62;mèche D:3,2mm L:80mm;GR14600;;unknown;NA;False
19526;KPRDCSA02;9001030773;d2fab308a4a232a49e7137ef665dd668acb1907faf6804f5b96b6ee4a2a1fe92;écarteur à 4 dents pointu L:135mm;GR14883;;unknown;NA;False
19527;KPRDCSA02;9001030774;0301dd16c1fb0f8d32e99084a92ee32c80add1b90c055f77872724fde7cf2e55;écarteur Demaret L:135mm;GR14884;NA;zabby's;NA;False
19534;KPRDCSA02;9001030142;f298bdda0608294168dd267b35bae39433206b5374e3fb936de1fea125fb72f4;base tréphine L:100mm;GR14596;;unknown;NA;False
19536;KPRDCSA02;9001030144;cc27c56607d7111ede37e7b5d1c064db344c6b429e8d7fe1d860d69192efd0d9;pièce ronde à visser pour tréphine D:30mm;GR14597;;unknown;NA;False
19540;KPRDCSA02;9001030775;7d8893bb6003404938ca03ccdb8dcdb1941fc42a131f66e3efc1967f4fa074f9;curette L:120mm;GR14885;;unknown;NA;False
19543;KPRDCSA02;9001030777;e8d2a6da7ec90a744b5463348f29718a1747bc4dc3e887dc1b865f2d03fcc107;écraseur L:95mm;GR14887;NA;zabby's;NA;False
19552;KPRDCSA02;9001031203;2b7caf89e1b96e92b6cb7684868b20666a57001e55059ba094553a3cda2e2c68;crochet L:115mm;GR14988;;unknown;NA;False
19556;KPRDCSA02;9001030776;9aaa6d792af2f574a7a636fd37ee7622e30acc552558026da337a8192ce96c21;micro mosquito droit L:90mm sans griffes;GR14886;;unknown;NA;False
19564;KPRDCSA02;9001042840;e826507084339f37fd524ef1b1536540f48a5b30a1089e3666f965719e9e983f;Ecarteur Farabeuf L:150mm;GR16605;NA;geomed;;False
19568;KPRDCSA02;9001029271;6288f848676c380aea7d47c031201332516f4bd18abd3181b3b0477f62fabd74;curette de Novak L:220mm;GR14127;;unknown;NA;False
19586;KPRDCSA02;9001029862;4f80027f9079d62d9b99e608bfea585a80a4436440beeefc52693a03ddc42e89;broche Kirschner L:100mm D:0,8mm;GR14455;;unknown;NA;False
19587;KPRDCSA02;9001029863;2cb308db6a388af9fb8853e248a816f5bd0aefe7ee6681a43144ecafc3f6d0b4;broche Kirschner L:100mm D:1,0mm;GR14456;;unknown;NA;False
19604;KPRDCSA02;9001018902;deb4a40c1f9a15827859fde170f0589c867489ea3d663b166dadd637077a2cad;broche L:70mm Ø:1mm 1 pointe;GR12802;;unknown;;False
19606;KPRDCSA02;9001031577;3e4fd26dac8b3f0d0f3438dc44602f1709ec39032b55b8faa941329880087628;petite boîte transparante autoclavable avec couvercle;GR15040;;unknown;NA;False
19607;KPRDCSA02;9001031900;7c62d4c7e7241ae88be1b527f513a413124a5aad60f470f2e09d24a77b655f44;rondelle métallique D:6mm;GR15102;;unknown;NA;False
19609;KPRDCSA02;9001031924;01a8a41480d616a8810f3cb98e5ecb18ad74e0e23eee89b3099bd1daeb6f05e1;tige pour guide mèche L:45mm;GR15108;;unknown;NA;False
19632;KPRDCSA02;9001031553;66cdcc1d81f6e88c3b22c5fc96bda1b5d2d33057125c2485f20788e6bd792612;ostéotome Lexer L:220mm l:7mm;GR15023;NA;muller;NA;False
19633;KPRDCSA02;9001031571;94951ca5dd4b43c5befc8a11883d01fdf07a496eed2ce65d38a88af8878b4eff;ostéotome Obwegeser L:150mm l:2,5mm;GR15038;NA;muller;NA;False
19636;KPRDCSA02;9001031558;f3d5ea389912f8a5c80553caafea369d13f97d9b19c692317b06d8e51dabccea;"ostéotome nasal boutonné en ""U"" L:195mm";GR15024;NA;muller;NA;False
19640;KPRDCSA02;9001031694;88c9fbd5d79870a0139f7fc6ffaa0a1fbc7e936790f0ecad7ec96feaec23bb27;plaque 0,3mm;GR15055;;unknown;NA;False
19653;KPRDCSA02;9001031578;d82c0a961d600c59cec79b35ce8ef11392eb47df6f8a31185bd6cc0b1b79accf;rondelle métallique D:13mm;GR15041;;unknown;NA;False
19666;KPRDCSA02;9001031569;a2e8a5d36f814640464fb3b011d050ab4d97499414aea34ba071abcedd7d0878;lame cannellée malléable;GR15037;NA;muller;NA;False
19671;KPRDCSA02;9001031561;295a47e780ceb506a023c9901d606d11a65517e5c2b966e4f0cce22c4ed5fbed;écarteur Langenbeck fourchu L:220mm l:75mm;GR15028;NA;muller;NA;False
19675;KPRDCSA02;9001031568;2947129a656c1048c32a72eb8b328567bb037e8951361bed57a0496c74a9fa4f;écarteur à dents L:155mm;GR15036;NA;muller;NA;False
